severe dehydration | Suffering from severe dehydration started for two hours. | Emergency Department (ED)
throbbing post‑operative nausea | Noticing throbbing post‑operative nausea started for a week. | Anesthesiology
throbbing post‑operative nausea after exercise | Having throbbing post‑operative nausea after exercise came on since this morning. | Anesthesiology
acute allergy to anesthesia concern | Experiencing acute allergy to anesthesia concern came on since this morning. | Anesthesiology
mechanical ventilation weaning at night | Experiencing mechanical ventilation weaning at night came on since yesterday. | Intensive Care Unit (ICU)
chronic severe ARDS | Suffering from chronic severe ARDS appeared for two hours. | Intensive Care Unit (ICU)
septic shock | Experiencing septic shock came on for three days. | Intensive Care Unit (ICU)
throbbing septic shock with minimal activity | Feeling throbbing septic shock with minimal activity started for two hours. | Intensive Care Unit (ICU)
persistent septic shock after meals | Suffering from persistent septic shock after meals began since last night. | Intensive Care Unit (ICU)
multi‑organ failure | Noticing multi‑organ failure began for one day. | Intensive Care Unit (ICU)
acute mechanical ventilation weaning | Experiencing acute mechanical ventilation weaning began for one day. | Intensive Care Unit (ICU)
sudden severe ARDS with minimal activity | Noticing sudden severe ARDS with minimal activity began for 10 minutes. | Intensive Care Unit (ICU)
intermittent septic shock | Suffering from intermittent septic shock started for one day. | Intensive Care Unit (ICU)
throbbing septic shock after meals | Suffering from throbbing septic shock after meals came on for one day. | Intensive Care Unit (ICU)
multi‑organ failure at night | Feeling multi‑organ failure at night began since last night. | Intensive Care Unit (ICU)
intermittent post‑cardiac arrest care at rest | Suffering from intermittent post‑cardiac arrest care at rest came on since last night. | Intensive Care Unit (ICU)
acute severe ARDS | Experiencing acute severe ARDS began for a week. | Intensive Care Unit (ICU)
chronic unstable blood pressure when lying down | Suffering from chronic unstable blood pressure when lying down began for 10 minutes. | Intensive Care Unit (ICU)
severe post‑cardiac arrest care | Suffering from severe post‑cardiac arrest care began since this morning. | Intensive Care Unit (ICU)
septic shock after meals | Suffering from septic shock after meals came on for six months. | Intensive Care Unit (ICU)
persistent unstable blood pressure | Suffering from persistent unstable blood pressure appeared for six months. | Intensive Care Unit (ICU)
mechanical ventilation weaning | Noticing mechanical ventilation weaning began for six months. | Intensive Care Unit (ICU)
chronic mechanical ventilation weaning | Experiencing chronic mechanical ventilation weaning started for three days. | Intensive Care Unit (ICU)
sudden multi‑organ failure | Feeling sudden multi‑organ failure began for 10 minutes. | Intensive Care Unit (ICU)
throbbing screening mammogram | Feeling throbbing screening mammogram came on for three days. | Radiology
persistent order chest x‑ray for chronic cough | Having persistent order chest x‑ray for chronic cough came on for one day. | Radiology
order chest x‑ray for chronic cough when lying down | Experiencing order chest x‑ray for chronic cough when lying down began for 10 minutes. | Radiology
sharp order chest x‑ray for chronic cough | Feeling sharp order chest x‑ray for chronic cough appeared for three days. | Radiology
dull screening mammogram | Suffering from dull screening mammogram started since last night. | Radiology
screening mammogram when lying down | Suffering from screening mammogram when lying down came on for six months. | Radiology
screening mammogram after meals | Having screening mammogram after meals began for one day. | Radiology
burning order chest x‑ray for chronic cough | Experiencing burning order chest x‑ray for chronic cough began for two hours. | Radiology
severe screening mammogram | Noticing severe screening mammogram started for several weeks. | Radiology
crushing order chest x‑ray for chronic cough | Experiencing crushing order chest x‑ray for chronic cough started for several weeks. | Radiology
need MRI of knee injury worsening over time | Feeling need MRI of knee injury worsening over time began for 10 minutes. | Radiology
throbbing bone density test request after meals | Having throbbing bone density test request after meals began for three days. | Radiology
CT scan for abdominal pain for several days | Experiencing CT scan for abdominal pain for several days appeared for two hours. | Radiology
CT scan for abdominal pain | Feeling CT scan for abdominal pain came on since this morning. | Radiology
screening mammogram | Suffering from screening mammogram started since last night. | Radiology
sharp need MRI of knee injury | Noticing sharp need MRI of knee injury came on for a week. | Radiology
sudden CT scan for abdominal pain at night | Suffering from sudden CT scan for abdominal pain at night came on since last night. | Radiology
burning CT scan for abdominal pain | Feeling burning CT scan for abdominal pain began since yesterday. | Radiology
need MRI of knee injury after exercise | Experiencing need MRI of knee injury after exercise started since yesterday. | Radiology
need MRI of knee injury at night | Noticing need MRI of knee injury at night began for six months. | Radiology
dull tissue diagnosis for tumor | Noticing dull tissue diagnosis for tumor started for one day. | Pathology
sudden frozen section during surgery | Experiencing sudden frozen section during surgery started since yesterday. | Pathology
analyze biopsy sample | Noticing analyze biopsy sample appeared for two hours. | Pathology
acute tissue diagnosis for tumor | Feeling acute tissue diagnosis for tumor started for three days. | Pathology
frozen section during surgery | Noticing frozen section during surgery appeared since yesterday. | Pathology
tissue diagnosis for tumor | Feeling tissue diagnosis for tumor began for one day. | Pathology
dull abnormal pap smear for several days | Feeling dull abnormal pap smear for several days began for 10 minutes. | Pathology
intermittent blood smear review on exertion | Feeling intermittent blood smear review on exertion began for six months. | Pathology
abnormal pap smear | Suffering from abnormal pap smear started for six months. | Pathology
sharp frozen section during surgery | Noticing sharp frozen section during surgery appeared for several weeks. | Pathology
dull frozen section during surgery | Suffering from dull frozen section during surgery began for 10 minutes. | Pathology
dull tissue diagnosis for tumor with minimal activity | Experiencing dull tissue diagnosis for tumor with minimal activity came on since this morning. | Pathology
burning abnormal pap smear | Suffering from burning abnormal pap smear came on for 10 minutes. | Pathology
acute analyze biopsy sample | Noticing acute analyze biopsy sample began for two hours. | Pathology
intermittent frozen section during surgery | Experiencing intermittent frozen section during surgery came on for six months. | Pathology
persistent frozen section during surgery | Noticing persistent frozen section during surgery came on for one day. | Pathology
throbbing frozen section during surgery | Having throbbing frozen section during surgery came on for two hours. | Pathology
tissue diagnosis for tumor with minimal activity | Feeling tissue diagnosis for tumor with minimal activity came on for several weeks. | Pathology
sharp abnormal pap smear after exercise | Feeling sharp abnormal pap smear after exercise started since yesterday. | Pathology
throbbing blood smear review | Experiencing throbbing blood smear review began for one day. | Pathology
sharp prosthetic training | Noticing sharp prosthetic training came on since this morning. | Physical Medicine and Rehab
chronic stroke rehabilitation | Feeling chronic stroke rehabilitation came on for two hours. | Physical Medicine and Rehab
intermittent chronic back pain rehab | Noticing intermittent chronic back pain rehab began for three days. | Physical Medicine and Rehab
throbbing chronic back pain rehab | Having throbbing chronic back pain rehab began for 10 minutes. | Physical Medicine and Rehab
prosthetic training | Suffering from prosthetic training began since yesterday. | Physical Medicine and Rehab
chronic back pain rehab | Suffering from chronic back pain rehab came on for a week. | Physical Medicine and Rehab
throbbing post‑fracture physiotherapy at rest | Noticing throbbing post‑fracture physiotherapy at rest came on since yesterday. | Physical Medicine and Rehab
crushing post‑fracture physiotherapy | Noticing crushing post‑fracture physiotherapy came on for 10 minutes. | Physical Medicine and Rehab
stroke rehabilitation | Suffering from stroke rehabilitation began for three days. | Physical Medicine and Rehab
acute stroke rehabilitation at rest | Having acute stroke rehabilitation at rest began since yesterday. | Physical Medicine and Rehab
chronic back pain rehab at night | Experiencing chronic back pain rehab at night appeared since yesterday. | Physical Medicine and Rehab
sharp post‑fracture physiotherapy for several days | Experiencing sharp post‑fracture physiotherapy for several days began for 10 minutes. | Physical Medicine and Rehab
dull prosthetic training | Suffering from dull prosthetic training appeared for several weeks. | Physical Medicine and Rehab
throbbing stroke rehabilitation | Noticing throbbing stroke rehabilitation started since this morning. | Physical Medicine and Rehab
sports injury rehab with minimal activity | Feeling sports injury rehab with minimal activity began for one day. | Physical Medicine and Rehab
burning stroke rehabilitation | Feeling burning stroke rehabilitation began since last night. | Physical Medicine and Rehab
acute post‑fracture physiotherapy in the morning | Having acute post‑fracture physiotherapy in the morning appeared since last night. | Physical Medicine and Rehab
sharp post‑fracture physiotherapy in the morning | Noticing sharp post‑fracture physiotherapy in the morning came on since yesterday. | Physical Medicine and Rehab
post‑fracture physiotherapy for several days | Having post‑fracture physiotherapy for several days began for a week. | Physical Medicine and Rehab
stroke rehabilitation in the morning | Experiencing stroke rehabilitation in the morning came on for a week. | Physical Medicine and Rehab
